Station,SSID,Voltage,Feeder Name,Meter No,MW,MVAr,MW Sign,MVAr Sign,Export MW,Import MW,Net MW,Direction,Communication,RTC Time
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,DAHLIA GREEN ENERGY (P) LTD - SOLAR 1,25010235,18.9384,1.7448,(Export),(Lead),111.4989,0.0000,111.4989,Export,AIRTEL,29/05/2026 12:42:43
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,DAHLIA GREEN ENERGY (P) LTD - SOLAR 1 CHECK,25010236,18.9288,1.7400,(Export),(Lead),111.4989,0.0000,111.4989,Export,AIRTEL,29/05/2026 12:44:59
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,DAHLIA GREEN ENERGY (P) LTD - SOLAR 2,25010241,23.5413,2.6163,(Export),(Lead),111.4989,0.0000,111.4989,Export,AIRTEL,29/05/2026 12:44:52
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,DAHLIA GREEN ENERGY (P) LTD - SOLAR 2 CHECK,25010242,23.8383,2.6919,(Export),(Lead),111.4989,0.0000,111.4989,Export,AIRTEL,29/05/2026 12:45:17
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,DAHLIA GREEN ENERGY (P) LTD -WIND,25010243,1.2609,0.1107,(Export),(Lag),111.4989,0.0000,111.4989,Export,AIRTEL,29/05/2026 12:43:38
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,DAHLIA GREEN ENERGY (P) LTD -WIND CHECK,25010245,1.2825,0.0972,(Export),(Lag),111.4989,0.0000,111.4989,Export,AIRTEL,29/05/2026 12:43:15
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,LAVENDAR ECO POWER (P) LTD - SOLAR 1,25005453,8.5800,0.5688,(Export),(Lead),111.4989,0.0000,111.4989,Export,AIRTEL,29/05/2026 12:43:15
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,LAVENDAR ECO POWER (P) LTD - SOLAR 1 CHECK,25005457,7.3320,0.3960,(Export),(Lead),111.4989,0.0000,111.4989,Export,AIRTEL,29/05/2026 12:43:12
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,LAVENDAR ECO POWER (P) LTD - SOLAR 2,25005460,24.3999,4.8033,(Export),(Lead),111.4989,0.0000,111.4989,Export,AIRTEL,29/05/2026 12:43:27
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,LAVENDAR ECO POWER (P) LTD - SOLAR 2 CHECK,25005461,23.7843,4.5279,(Export),(Lead),111.4989,0.0000,111.4989,Export,AIRTEL,29/05/2026 12:43:29
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,LAVENDAR ECO POWER (P) LTD -WIND,25010237,0,0, , ,0,0,0, ,AIRTEL,---
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,LAVENDAR ECO POWER (P) LTD -WIND CHECK,25010238,0,0, , ,0,0,0, ,AIRTEL,---
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,LILAC ECO POWER (P) LTD -  SOLAR 1 CHECK,25010272,13.5192,1.1784,(Export),(Lead),111.4989,0.0000,111.4989,Export,AIRTEL,29/05/2026 12:45:13
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,LILAC ECO POWER (P) LTD -  SOLAR 2 CHECK,25010249,17.7903,1.5795,(Export),(Lead),111.4989,0.0000,111.4989,Export,AIRTEL,29/05/2026 12:44:28
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,LILAC ECO POWER (P) LTD - SOLAR 1,25010271,14.0424,1.2792,(Export),(Lead),111.4989,0.0000,111.4989,Export,AIRTEL,29/05/2026 12:44:49
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,LILAC ECO POWER (P) LTD - SOLAR 2,25010248,19.1889,1.8333,(Export),(Lead),111.4989,0.0000,111.4989,Export,AIRTEL,29/05/2026 12:43:13
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,LILAC ECO POWER (P) LTD -WIND,25010239,1.5471,0.0864,(Export),(Lag),111.4989,0.0000,111.4989,Export,AIRTEL,29/05/2026 12:44:45
Maniyachi(Viola Green Energy 230/330 KV),2387,110/11 KV,LILAC ECO POWER (P) LTD -WIND CHECK,25010240,1.5363,0.0891,(Export),(Lag),111.4989,0.0000,111.4989,Export,AIRTEL,29/05/2026 12:44:40
